Bournemouth,Aston Villa,0,1
Chelsea,Swansea,2,2
Everton,Watford,2,2
Leicester,Sunderland,4,2
Man United,Tottenham,1,0
Norwich,Crystal Palace,1,3
Arsenal,West Ham,0,2
Newcastle,Southampton,2,2
Stoke,Liverpool,0,1
West Brom,Man City,0,3
Aston Villa,Man United,0,1
Southampton,Everton,0,3
Sunderland,Norwich,1,3
Swansea,Newcastle,2,0
Tottenham,Stoke,2,2
Watford,West Brom,0,0
West Ham,Leicester,1,2
Crystal Palace,Arsenal,1,2
Man City,Chelsea,3,0
Liverpool,Bournemouth,1,0
Crystal Palace,Aston Villa,2,1
Leicester,Tottenham,1,1
Man United,Newcastle,0,0
Norwich,Stoke,1,1
Sunderland,Swansea,1,1
West Ham,Bournemouth,3,4
Everton,Man City,0,2
Watford,Southampton,0,0
West Brom,Chelsea,2,3
Arsenal,Liverpool,0,0
Aston Villa,Sunderland,2,2
Bournemouth,Leicester,1,1
Chelsea,Crystal Palace,1,2
Liverpool,West Ham,0,3
Man City,Watford,2,0
Newcastle,Arsenal,0,1
Stoke,West Brom,0,1
Tottenham,Everton,0,0
Southampton,Norwich,3,0
Swansea,Man United,2,1
Arsenal,Stoke,2,0
Crystal Palace,Man City,0,1
Everton,Chelsea,3,1
Man United,Liverpool,3,1
Norwich,Bournemouth,3,1
Watford,Swansea,1,0
West Brom,Southampton,0,0
Leicester,Aston Villa,3,2
Sunderland,Tottenham,0,1
West Ham,Newcastle,2,0
Aston Villa,West Brom,0,1
Bournemouth,Sunderland,2,0
Chelsea,Arsenal,2,0
Man City,West Ham,1,2
Newcastle,Watford,1,2
Stoke,Leicester,2,2
Swansea,Everton,0,0
Liverpool,Norwich,1,1
Southampton,Man United,2,3
Tottenham,Crystal Palace,1,0
Leicester,Arsenal,2,5
Liverpool,Aston Villa,3,2
Man United,Sunderland,3,0
Newcastle,Chelsea,2,2
Southampton,Swansea,3,1
Stoke,Bournemouth,2,1
Tottenham,Man City,4,1
West Ham,Norwich,2,2
Watford,Crystal Palace,0,1
West Brom,Everton,2,3
Aston Villa,Stoke,0,1
Bournemouth,Watford,1,1
Chelsea,Southampton,1,3
Crystal Palace,West Brom,2,0
Man City,Newcastle,6,1
Norwich,Leicester,1,2
Sunderland,West Ham,2,2
Arsenal,Man United,3,0
Everton,Liverpool,1,1
Swansea,Tottenham,2,2
Chelsea,Aston Villa,2,0
Crystal Palace,West Ham,1,3
Everton,Man United,0,3
Man City,Bournemouth,5,1
Southampton,Leicester,2,2
Tottenham,Liverpool,0,0
Watford,Arsenal,0,3
West Brom,Sunderland,1,0
Newcastle,Norwich,6,2
Swansea,Stoke,0,1
Arsenal,Everton,2,1
Aston Villa,Swansea,1,2
Leicester,Crystal Palace,1,0
Norwich,West Brom,0,1
Stoke,Watford,0,2
West Ham,Chelsea,2,1
Bournemouth,Tottenham,1,5
Liverpool,Southampton,1,1
Man United,Man City,0,0
Sunderland,Newcastle,3,0
Chelsea,Liverpool,1,3
Crystal Palace,Man United,0,0
Man City,Norwich,2,1
Newcastle,Stoke,0,0
Swansea,Arsenal,0,3
Watford,West Ham,2,0
West Brom,Leicester,2,3
Everton,Sunderland,6,2
Southampton,Bournemouth,2,0
Tottenham,Aston Villa,3,1
Bournemouth,Newcastle,0,1
Leicester,Watford,2,1
Man United,West Brom,2,0
Norwich,Swansea,1,0
Stoke,Chelsea,1,0
Sunderland,Southampton,0,1
West Ham,Everton,1,1
Arsenal,Tottenham,1,1
Aston Villa,Man City,0,0
Liverpool,Crystal Palace,1,2
Chelsea,Norwich,1,0
Everton,Aston Villa,4,0
Man City,Liverpool,1,4
Newcastle,Leicester,0,3
Southampton,Stoke,0,1
Swansea,Bournemouth,2,2
Watford,Man United,1,2
West Brom,Arsenal,2,1
Tottenham,West Ham,4,1
Crystal Palace,Sunderland,0,1
Aston Villa,Watford,2,3
Bournemouth,Everton,3,3
Crystal Palace,Newcastle,5,1
Leicester,Man United,1,1
Man City,Southampton,3,1
Sunderland,Stoke,2,0
Liverpool,Swansea,1,0
Norwich,Arsenal,1,1
Tottenham,Chelsea,0,0
West Ham,West Brom,1,1
