home,away,homescore,awayscore,matchday,home_lose,draw,home_win
man_united,tottenham,1,0,1,0.31394,0.29202,0.39404
bournemouth,aston_villa,0,1,1,-1,-1,-1,-1
everton,watford,2,2,1,-1,-1,-1
leicester,sunderland,4,2,1,0.43384,0.29778,0.26838
norwich,crystal_palace,1,3,1,-1,-1,-1
chelsea,swansea,2,2,1,0.31054,0.25858,0.43088
arsenal,west_ham,0,2,1,0.23748,0.30536,0.45716
newcastle,southampton,2,2,1,0.47668,0.223,0.30032
stoke,liverpool,0,1,1,0.36984,0.2656,0.36456
west_brom,man_city,0,3,1,0.47166,0.26294,0.2654
aston_villa,man_united,0,1,2,0.4773,0.26356,0.25914
southampton,everton,0,3,2,0.32624,0.23724,0.43652
sunderland,norwich,1,3,2,-1,-1,-1
swansea,newcastle,2,0,2,0.32336,0.26696,0.40968
tottenham,stoke,2,2,2,0.39992,0.23444,0.36564
watford,west_brom,0,0,2,-1,-1,-1
west_ham,leicester,1,2,2,0.37992,0.31366,0.30642
crystal_palace,arsenal,1,2,2,0.45056,0.25672,0.29272
man_city,chelsea,3,0,2,0.3089,0.2116,0.4795
liverpool,bournemouth,1,0,2,-1,-1,-1
man_united,newcastle,0,0,3,0.22652,0.2272,0.54628
crystal_palace,aston_villa,2,1,3,0.40236,0.18658,0.41106
leicester,tottenham,1,1,3,0.41102,0.27112,0.31786
norwich,stoke,1,1,3,-1,-1,-1
sunderland,swansea,1,1,3,0.52038,0.29944,0.18018
west_ham,bournemouth,3,4,3,-1,-1,-1
west_brom,chelsea,2,3,3,0.50542,0.2991,0.19548
everton,man_city,0,2,3,0.56446,0.2684,0.16714
watford,southampton,0,0,3,-1,-1,-1
arsenal,liverpool,0,0,3,0.26034,0.27952,0.46014
newcastle,arsenal,0,1,4,0.52246,0.2623,0.21524
bournemouth,leicester,1,1,4,-1,-1,-1
aston_villa,sunderland,2,2,4,0.44176,0.25948,0.29876
chelsea,crystal_palace,1,2,4,0.21676,0.20194,0.5813
liverpool,west_ham,0,3,4,0.35458,0.28318,0.36224
man_city,watford,2,0,4,-1,-1,-1
stoke,west_brom,0,1,4,0.3507,0.2473,0.402
tottenham,everton,0,0,4,0.2547,0.26034,0.48496
southampton,norwich,3,0,4,-1,-1,-1
swansea,man_united,2,1,4,0.50008,0.24054,0.25938
everton,chelsea,3,1,5,0.49034,0.3427,0.16696
arsenal,stoke,2,0,5,0.31922,0.33088,0.3499
crystal_palace,man_city,0,1,5,0.54186,0.23704,0.2211
norwich,bournemouth,3,1,5,-1,-1,-1
watford,swansea,1,0,5,-1,-1,-1
west_brom,southampton,0,0,5,0.38946,0.26768,0.34286,0
man_united,liverpool,3,1,5,0.26534,0.21952,0.51514
sunderland,tottenham,0,1,5,0.45,0.26578,0.28422
leicester,aston_villa,3,2,5,0.34268,0.28972,0.3676
west_ham,newcastle,2,0,5,0.2613,0.29538,0.44332
chelsea,arsenal,2,0,6,0.3778,0.25952,0.36268
bournemouth,sunderland,2,0,6,-1,-1,-1
aston_villa,west_brom,0,1,6,0.357,0.23214,0.41086
newcastle,watford,1,2,6,-1,-1,-1
stoke,leicester,2,2,6,0.33528,0.22772,0.437
swansea,everton,0,0,6,0.26822,0.238,0.49378
man_city,west_ham,1,2,6,0.2993,0.1906,0.5101
tottenham,crystal_palace,1,0,6,0.39164,0.1991,0.40926
liverpool,norwich,1,1,6,-1,-1,-1
southampton,man_united,2,3,6,0.43616,0.21294,0.3509
tottenham,man_city,4,1,7,0.54528,0.177,0.27772
leicester,arsenal,2,5,7,0.5034,0.29634,0.20026
liverpool,aston_villa,3,2,7,0.32302,0.2517,0.42528
man_united,sunderland,3,0,7,0.21096,0.20122,0.58782
southampton,swansea,3,1,7,0.43544,0.19762,0.36694,1
stoke,bournemouth,2,1,7,-1,-1,-1
west_ham,norwich,2,2,7,-1,-1,-1
newcastle,chelsea,2,2,7,0.50626,0.27368,0.22006
watford,crystal_palace,0,1,7,-1,-1,-1
west_brom,everton,2,3,7,0.41272,0.2558,0.33148
bournemouth,watford,1,1,8,-1,-1,-1
arsenal,man_united,3,0,8,0.37098,0.20684,0.42218
aston_villa,stoke,0,1,8,0.48666,0.22372,0.28962
chelsea,southampton,1,3,8,0.18662,0.193,0.62038
crystal_palace,west_brom,2,0,8,0.36602,0.2151,0.41888
everton,liverpool,1,1,8,0.50118,0.25926,0.23956
man_city,newcastle,6,1,8,0.20796,0.14814,0.6439
norwich,leicester,1,2,8,-1,-1,-1
sunderland,west_ham,2,2,8,0.38464,0.3274,0.28796
swansea,tottenham,2,2,8,0.5183,0.16788,0.31382
chelsea,aston_villa,2,0,9,0.13342,0.31982,0.54676
crystal_palace,west_ham,1,3,9,0.43208,0.24932,0.3186
everton,man_united,0,3,9,0.44814,0.30836,0.2435
man_city,bournemouth,5,1,9,-1,-1,-1
newcastle,norwich,6,2,9,-1,-1,-1
southampton,leicester,2,2,9,0.33646,0.21148,0.45206
swansea,stoke,0,1,9,0.5024,0.19926,0.29834
tottenham,liverpool,0,0,9,0.44418,0.21294,0.34288
watford,arsenal,0,3,9,-1,-1,-1
west_brom,sunderland,1,0,9,0.26102,0.23306,0.50592
bournemouth,tottenham,1,5,10,-1,-1,-1
arsenal,everton,2,1,10,0.2149,0.31212,0.47298
aston_villa,swansea,1,2,10,0.4629,0.25896,0.27814
leicester,crystal_palace,1,0,10,0.4169,0.26428,0.31882
liverpool,southampton,1,1,10,0.28962,0.25658,0.4538
man_united,man_city,0,0,10,0.41942,0.19494,0.38564
norwich,west_brom,0,1,10,-1,-1,-1
stoke,watford,0,2,10,-1,-1,-1
sunderland,newcastle,3,0,10,0.44218,0.32016,0.23766
west_ham,chelsea,2,1,10,0.4505,0.33262,0.21688
chelsea,liverpool,1,3,11,0.26244,0.266,0.47156
crystal_palace,man_united,0,0,11,0.48942,0.2239,0.28668
everton,sunderland,6,2,11,0.28382,0.38566,0.33052
man_city,norwich,2,1,11,-1,-1,-1
newcastle,stoke,0,0,11,0.43534,0.27226,0.2924
southampton,bournemouth,2,0,11,-1,-1,-1
swansea,arsenal,0,3,11,0.46734,0.17252,0.36014
tottenham,aston_villa,3,1,11,0.33266,0.22684,0.4405
watford,west_ham,2,0,11,-1,-1,-1
west_brom,leicester,2,3,11,0.3899,0.28918,0.32092
bournemouth,newcastle,0,1,12,-1,-1,-1
arsenal,tottenham,1,1,12,0.36704,0.20764,0.42532
aston_villa,man_city,0,0,12,0.5264,0.22274,0.25086
leicester,watford,2,1,12,-1,-1,-1
liverpool,crystal_palace,1,2,12,0.23632,0.26902,0.49466
man_united,west_brom,2,0,12,0.16744,0.2817,0.55086
norwich,swansea,1,0,12,-1,-1,-1
stoke,chelsea,1,0,12,0.45938,0.2409,0.29972
sunderland,southampton,0,1,12,0.49248,0.27588,0.23164
west_ham,everton,1,1,12,0.37482,0.3233,0.30188
chelsea,norwich,1,0,13,-1,-1,-1
crystal_palace,sunderland,-1,-1,13,0.25122,0.40302,0.34576
everton,aston_villa,4,0,13,0.43922,0.2445,0.31628
man_city,liverpool,1,4,13,0.38072,0.22484,0.39444
newcastle,leicester,0,3,13,0.43744,0.261,0.30156
southampton,stoke,0,1,13,0.27828,0.28712,0.4346
swansea,bournemouth,2,2,13,-1,-1,-1
tottenham,west_ham,-1,-1,13,0.25944,0.36352,0.37704
watford,man_united,1,2,13,-1,-1,-1
west_brom,arsenal,2,1,13,0.4651,0.2245,0.3104
